epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9557,0.57017,4.40213,1.25049,0.75362,0.89326,0.88475,0.80655,0.55979,1.0133,1.06278,0.000172792,0.000172792,0.000172792
2,63.117,0.55242,1.42671,1.20315,0.84628,0.84676,0.94001,0.8812,0.4223,0.86708,0.97172,0.000313661,0.000313661,0.000313661
3,88.6657,0.55046,0.96221,1.17708,0.72603,0.67489,0.72031,0.62655,0.53765,1.98847,1.10644,0.000419814,0.000419814,0.000419814
4,115.716,0.5166,0.76312,1.15719,0.89502,0.92182,0.96901,0.8782,0.46503,0.62085,1.01679,0.000369778,0.000369778,0.000369778
5,140.564,0.51637,0.58801,1.15249,0.92107,0.98702,0.985,0.92246,0.38822,0.37116,0.93657,0.000317704,0.000317704,0.000317704
6,167.958,0.49081,0.55324,1.12823,0.9457,0.97867,0.98173,0.9173,0.39993,0.35524,0.97173,0.00026563,0.00026563,0.00026563
7,193.068,0.42407,0.45791,1.05936,0.95924,0.99682,0.985,0.9426,0.33081,0.28445,0.8804,0.000213556,0.000213556,0.000213556
8,220.363,0.39862,0.37459,1.03522,0.95379,1,0.985,0.93626,0.31097,0.26164,0.87688,0.000161482,0.000161482,0.000161482
9,245.526,0.37835,0.34359,1.02725,0.96124,0.99919,0.98833,0.95065,0.2924,0.24266,0.8472,0.000109408,0.000109408,0.000109408
10,272.587,0.3363,0.30125,0.99238,0.96464,0.99132,0.98173,0.95844,0.25275,0.2059,0.81697,5.7334e-05,5.7334e-05,5.7334e-05
