epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,408.778,0.98409,2.15411,1.55552,0.88936,0.81313,0.91266,0.80783,0.52451,0.8977,1.05681,0.000175143,0.000175143,0.000175143
2,800.57,0.92046,0.76228,1.4651,0.95761,0.97329,0.98011,0.88731,0.49404,0.43395,1.03109,0.000315779,0.000315779,0.000315779
3,1181.44,0.89293,0.64748,1.43643,0.96507,0.96622,0.98861,0.91075,0.45013,0.3983,0.9698,0.000421699,0.000421699,0.000421699
4,1561.42,0.82838,0.54995,1.37751,0.98971,0.99011,0.99136,0.93308,0.39003,0.29975,0.91889,0.000369778,0.000369778,0.000369778
5,1940.37,0.76595,0.46092,1.31965,0.98807,0.98877,0.99261,0.94756,0.3497,0.25896,0.86278,0.000317704,0.000317704,0.000317704
6,2319.97,0.71708,0.40365,1.27575,0.99616,0.99316,0.99346,0.94906,0.36081,0.23982,0.86608,0.00026563,0.00026563,0.00026563
7,2697.27,0.68094,0.36178,1.24279,0.99381,0.98993,0.99325,0.97287,0.28451,0.20784,0.82818,0.000213556,0.000213556,0.000213556
8,3074.55,0.63113,0.31934,1.20546,0.99643,0.9937,0.99398,0.9725,0.28505,0.19423,0.81393,0.000161482,0.000161482,0.000161482
9,3451.88,0.58445,0.29199,1.16317,0.99729,0.99084,0.99398,0.97977,0.24327,0.17097,0.7908,0.000109408,0.000109408,0.000109408
10,3829.6,0.54402,0.26411,1.1326,0.99705,0.99174,0.99414,0.98362,0.22417,0.1581,0.78263,5.7334e-05,5.7334e-05,5.7334e-05
