epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.4876,0.47103,3.32251,1.0904,0.88214,0.90937,0.94851,0.836,0.46219,0.78211,0.99895,0.000174209,0.000174209,0.000174209
2,132.054,0.47285,0.96597,1.07038,0.89944,0.93006,0.9683,0.88808,0.4296,0.55066,0.95674,0.000314938,0.000314938,0.000314938
3,193.388,0.47086,0.68998,1.06099,0.90843,0.93051,0.97187,0.88705,0.41232,0.52857,0.94906,0.000420951,0.000420951,0.000420951
4,253.546,0.46226,0.57824,1.06247,0.91559,0.90946,0.96753,0.87329,0.49007,0.66773,0.98627,0.000369778,0.000369778,0.000369778
5,313.698,0.42448,0.47811,1.01779,0.9655,0.97418,0.98538,0.93951,0.33969,0.34239,0.87319,0.000317704,0.000317704,0.000317704
6,374.974,0.38123,0.3858,0.98584,0.98273,0.97332,0.98572,0.94955,0.30371,0.29116,0.84569,0.00026563,0.00026563,0.00026563
7,434.306,0.34698,0.34643,0.95576,0.98561,0.99027,0.98945,0.95626,0.32032,0.2737,0.84692,0.000213556,0.000213556,0.000213556
8,494.531,0.31657,0.28503,0.93854,0.98305,0.98985,0.98943,0.97123,0.26431,0.24012,0.8136,0.000161482,0.000161482,0.000161482
9,555.002,0.29336,0.25544,0.91782,0.99162,0.98945,0.99118,0.96949,0.25615,0.22471,0.80762,0.000109408,0.000109408,0.000109408
10,614.683,0.26552,0.22321,0.90682,0.99328,0.98685,0.99114,0.97247,0.23454,0.20599,0.80084,5.7334e-05,5.7334e-05,5.7334e-05
